[0:00:03.571093] [main.py: 54] > Starting scrape.
[0:00:03.573104] [main.py: 56] > Scraping product urls.
[0:00:03.573104] [main.py: 68] > Logging in...
[0:00:31.216595] [main.py: 75] > Logged in successfully.
[0:00:31.216595] [main.py: 77] > Total products to scrape: 2523
[0:00:31.216595] [main.py: 78] > Scraped already: 0
[0:00:36.037428] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/13264/achetez-biscuits-petit-ecolier-150g-lu
[0:00:39.959384] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/7902/achetez-bicuits-speculoos-fraicheur-140g-lotus
[0:00:43.896937] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/13453/achetez-bonbons-tagada-zip-fraicheur-220g-haribo
[0:00:48.808377] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/7980/achetez-biscuits-chocolat-au-lait-x16-200g-granola
[0:00:52.308378] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/8063/achetez-sable-de-retz-2x120g-st-michel
[0:00:56.721385] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/9589/achetez-st-mamet-peche-1-2-245g
[0:01:00.385905] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/13188/achetez-la-barquette-lulu-gout-fraise-120g-lu
[0:01:13.949660] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/13491/achetez-sucre-cristal-1kg-daddy
[0:01:17.751989] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/7939/achetez-biscuits-la-barquettes-chocolat-120g-lu
[0:01:22.461518] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/7972/achetez-biscuits-palmito-100g-lu
[0:01:27.025111] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/13667/achetez-petites-madeleines-250g-saint-michel
[0:01:33.825680] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/7548/achetez-biscotte-96-de-cereales-300g-heudebert
[0:01:38.688223] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/13198/achetez-biscuits-chocolat-au-lait-198g-m-ms
[0:01:42.562097] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/13477/achetez-farine-de-ble-fluide-t45-1kg-francine-1
[0:01:45.833743] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/9534/achetez-la-perruche-sucre-roux-en-morceaux-1kg-beghin-say
[0:01:51.258126] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/19821/achetez-nutella-biscuits-t22-304g-nutella
[0:02:02.632499] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/9656/achetez-compote-de-pomme-1kg-andros
[0:02:09.731710] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/13213/achetez-veritable-petit-beurre-200g-lu
[0:02:23.972507] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/9380/achetez-levure-chimique-11g-dr-oetker
