,Name,Code EAN,price_colis,price_demi_palette,price_palette,unit_price_colis,unit_price_demi_palette,unit_price_palette,num_uvc_colis,num_uvc_demi_palette,num_uvc_palette,DLC
0,Biscuits petit écolier 150g - LU,7622210421968,"31,90 € TTC","1 346,14 € TTC","2 590,95 € TTC","2,28 €","1,96 €","1,89 €",14,686,1372,60 jours
1,Biscuits speculoos fraicheur 140g - LOTUS,5410126806090,"13,40 € TTC","2 184,91 € TTC","4 209,45 € TTC","1,34 €","1,15 €","1,11 €",10,1900,3800,102 jours
2,Bonbons Tagada zip fraicheur; 220g - HARIBO,3103220044544,"60,84 € TTC","1 252,80 € TTC","2 419,20 € TTC","2,03 €","1,74 €","1,68 €",30,720,1440,300 jours
3,Biscuits chocolat au lait x16 200g - GRANOLA,7622210601988,"38,74 € TTC","1 336,90 € TTC","2 582,64 € TTC","2,15 €","1,86 €","1,79 €",18,720,1440,183 jours
4,Sablé de Retz 2x120g - ST MICHEL,3023470010031,"39,67 € TTC","475,59 € TTC","888,73 € TTC","1,98 €","1,70 €","1,65 €",20,280,540,120 jours
5,St Mamet Pêche 1/2 245g,3080920100186,"25,07 € TTC","1 558,70 € TTC","3 008,02 € TTC","2,09 €","1,80 €","1,74 €",12,864,1728,960 jours
6,La barquette Lulu goût fraise 120g - LU,3017760038409,"30,17 € TTC","778,59 € TTC","1 506,54 € TTC","1,51 €","1,30 €","1,26 €",20,600,1200,183 jours
7,Sucre cristal 1kg - DADDY,3165430810005,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,Biscuits La Barquettes chocolat 120g - LU,3017760038331,"31,23 € TTC","803,91 € TTC","1 557,18 € TTC","1,56 €","1,34 €","1,30 €",20,600,1200,120 jours
9,Biscuits palmito 100g - LU,3017760030106,"30,64 € TTC","789,98 € TTC","1 519,20 € TTC","1,28 €","1,10 €","1,06 €",24,720,1440,80 jours
10,Petites Madeleines 250g - ST MICHEL,3178531008110,"24,67 € TTC","574,26 € TTC","1 108,64 € TTC","1,76 €","1,52 €","1,47 €",14,378,756,93 jours
11,Biscotte 96% de céréales 300g - HEUDEBERT,7622210416629,"30,70 € TTC","317,13 € TTC","611,48 € TTC","2,05 €","1,76 €","1,70 €",15,180,360,183 jours
12,Biscuits chocolat au lait 198g - M&M's,5900951251818,"57,16 € TTC","2 065,73 € TTC","3 987,90 € TTC","3,18 €","2,73 €","2,64 €",18,756,1512,144 jours
13,Farine de blé fluide t45 1kg - FRANCINE,3068110801235,"18,78 € TTC","807,08 € TTC","1 535,34 € TTC","1,88 €","1,61 €","1,55 €",10,500,990,240 jours
14,La Perruche sucre roux en morceaux 1kg - BEGHIN SAY,3174660070325,"18,04 € TTC","1 530,12 € TTC","2 955,79 € TTC","3,61 €","3,09 €","2,99 €",5,495,990,N/A
15,Nutella biscuits T22 304g - NUTELLA,8000500310427,"44,84 € TTC","1 222,11 € TTC","2 383,46 € TTC","4,48 €","3,82 €","3,72 €",10,320,640,100 jours
16,Compote de pomme 1kg - ANDROS,3608580006091,"16,52 € TTC","680,60 € TTC","1 304,93 € TTC","2,75 €","2,36 €","2,29 €",6,288,570,486 jours
17,Véritable petit beurre 200g - LU,7622210988034,"36,29 € TTC","744,41 € TTC","1 438,18 € TTC","1,81 €","1,55 €","1,50 €",20,480,960,183 jours
18,levure chimique 11g - DR OETKER,3027030023745,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,360 jours
19,Confiture aux figues blanches 370g - BONNE MAMAN,3045320519457,"15,70 € TTC","1 415,70 € TTC","2 712,09 € TTC","2,62 €","2,25 €","2,16 €",6,630,1254,486 jours
20,Gaufrettes vanille 146g - BRUN,3017760221580,"29,84 € TTC","925,19 € TTC","1 786,58 € TTC","1,07 €","0,92 €","0,89 €",28,1008,2016,80 jours
21,Confiture rhubarbes 370g - BONNE MAMAN,3045320001631,"15,51 € TTC","1 395,77 € TTC","2 685,63 € TTC","2,58 €","2,22 €","2,14 €",6,630,1254,486 jours
22,Bonbons Orangina Pik; 250g - HARIBO,3103220035580,"69,84 € TTC","1 923,84 € TTC","3 709,44 € TTC","2,33 €","2,00 €","1,93 €",30,960,1920,300 jours
23,Lait concentré sucré en tube 60g - REGILAIT,3043934273550,"8,36 € TTC","574,26 € TTC","1 107,50 € TTC","0,70 €","0,59 €","0,57 €",12,972,1944,240 jours
24,Bonbons Croco; 280g - HARIBO,3103220035214,"65,88 € TTC","1 820,16 € TTC","3 502,08 € TTC","2,20 €","1,90 €","1,82 €",30,960,1920,300 jours
25,Madeleine Tradition x12 300g - BONNE MAMAN,3178530402728,"32,83 € TTC","565,48 € TTC","1 090,45 € TTC","4,10 €","3,53 €","3,41 €",8,160,320,46 jours
26,Crème de marrons de l'Ardèche 78g - CLÉMENT FAUGIER,22314010094,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1150 jours
27,Confitures Cerises noires 370g - BONNE MAMAN,3045320023275,"16,52 € TTC","1 488,82 € TTC","2 870,84 € TTC","2,75 €","2,36 €","2,29 €",6,630,1254,730 jours
28,Gaufrettes paille d'Or fraise 170g - LU,3017760544795,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,183 jours
29,Confiture caramel à la fleur de sel 220g - BONNE MAMAN,3608580804574,"14,81 € TTC","1 984,83 € TTC","3 831,42 € TTC","2,47 €","2,12 €","2,05 €",6,936,1872,486 jours
30,Fruits au sirop abricots 235g - ST MAMET,3080920100025,"25,70 € TTC","1 586,04 € TTC","3 062,71 € TTC","2,14 €","1,84 €","1,77 €",12,864,1728,960 jours
31,Cookies gros éclats de chocolat 184g - GRANOLA,3760113466991,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80 jours
32,Confiture Pêche 370g - BONNE MAMAN,3045320001549,"15,51 € TTC","1 395,77 € TTC","2 685,63 € TTC","2,58 €","2,22 €","2,14 €",6,630,1254,486 jours
33,Sablés au chocolat 150g - BONNE MAMAN,3178530409840,"15,87 € TTC","733,77 € TTC","1 421,97 € TTC","1,98 €","1,70 €","1,65 €",8,432,864,180 jours
34,Confiture Abricots 450g - BONNE MAMAN,3608580759638,"19,24 € TTC","1 569,52 € TTC","3 014,85 € TTC","3,21 €","2,75 €","2,66 €",6,570,1134,486 jours
35,Bonbons Love Pik; 225g - HARIBO,3103220038017,"44,88 € TTC","925,06 € TTC","1 786,75 € TTC","2,04 €","1,75 €","1,69 €",22,528,1056,200 jours
36,St Mamet Poire 225g,3080920100254,"29,50 € TTC","1 823,04 € TTC","3 518,47 € TTC","2,46 €","2,11 €","2,04 €",12,864,1728,960 jours
37,Confiture de fraise 450g - BONNE MAMAN,3608580759621,"19,62 € TTC","1 605,60 € TTC","3 074,67 € TTC","3,27 €","2,82 €","2,71 €",6,570,1134,486 jours
38,Biscuits chocolat au lait Pepito 192g - LU,7622210717801,"36,84 € TTC","1 268,53 € TTC","2 445,91 € TTC","2,05 €","1,76 €","1,70 €",18,720,1440,162 jours
39,Sucre vanillé 8x10g - ANCEL,3027030000203,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,480 jours
40,Biscuits caramel/ chocolat 210g - TWIX,5900951251795,"57,16 € TTC","2 410,02 € TTC","4 652,55 € TTC","3,18 €","2,73 €","2,64 €",18,882,1764,144 jours
